"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","listener"
0.438,0.431,0,-8.611,1,0.0274,0.651,0,0.725,0.26,77.962,"audio_features","6tgfaQGMIAzcf58M0chYpu","spotify:track:6tgfaQGMIAzcf58M0chYpu","https://api.spotify.com/v1/tracks/6tgfaQGMIAzcf58M0chYpu","https://api.spotify.com/v1/audio-analysis/6tgfaQGMIAzcf58M0chYpu",286172,3,"Si Han"
0.211,0.558,3,-6.232,1,0.041,0.0304,0,0.0978,0.317,143.452,"audio_features","6GiHwHmnJBYSOL3jloIYaR","spotify:track:6GiHwHmnJBYSOL3jloIYaR","https://api.spotify.com/v1/tracks/6GiHwHmnJBYSOL3jloIYaR","https://api.spotify.com/v1/audio-analysis/6GiHwHmnJBYSOL3jloIYaR",327000,4,"Si Han"
0.255,0.311,4,-12.139,1,0.0339,0.105,0,0.116,0.0879,132.8,"audio_features","5P328qOe4HhmYu32J0RCdu","spotify:track:5P328qOe4HhmYu32J0RCdu","https://api.spotify.com/v1/tracks/5P328qOe4HhmYu32J0RCdu","https://api.spotify.com/v1/audio-analysis/5P328qOe4HhmYu32J0RCdu",313427,4,"Si Han"
0.24,0.469,3,-9.235,1,0.0361,0.753,2.05e-06,0.0917,0.24,154.969,"audio_features","4cSCMlCcY65zlz1ZPhqsCe","spotify:track:4cSCMlCcY65zlz1ZPhqsCe","https://api.spotify.com/v1/tracks/4cSCMlCcY65zlz1ZPhqsCe","https://api.spotify.com/v1/audio-analysis/4cSCMlCcY65zlz1ZPhqsCe",309840,4,"Si Han"
0.488,0.602,0,-3.697,1,0.0277,0.0119,0,0.0825,0.225,78.011,"audio_features","13AruKdh8wJhWx6i5dV8X1","spotify:track:13AruKdh8wJhWx6i5dV8X1","https://api.spotify.com/v1/tracks/13AruKdh8wJhWx6i5dV8X1","https://api.spotify.com/v1/audio-analysis/13AruKdh8wJhWx6i5dV8X1",346282,4,"Si Han"
0.396,0.5,2,-7.746,1,0.032,0.0128,0,0.535,0.099,135.857,"audio_features","4EiKZxDgW0sbT8BZ9Gl6dC","spotify:track:4EiKZxDgW0sbT8BZ9Gl6dC","https://api.spotify.com/v1/tracks/4EiKZxDgW0sbT8BZ9Gl6dC","https://api.spotify.com/v1/audio-analysis/4EiKZxDgW0sbT8BZ9Gl6dC",343080,4,"Si Han"
0.509,0.276,0,-10.406,1,0.0301,0.203,0,0.15,0.138,109.707,"audio_features","2Zxili8AmCuqiomg9HzTgH","spotify:track:2Zxili8AmCuqiomg9HzTgH","https://api.spotify.com/v1/tracks/2Zxili8AmCuqiomg9HzTgH","https://api.spotify.com/v1/audio-analysis/2Zxili8AmCuqiomg9HzTgH",287080,4,"Si Han"
0.356,0.428,2,-9.459,1,0.0321,0.703,0,0.211,0.104,143.658,"audio_features","2biU8EO9TFZ6lMz8q6A92W","spotify:track:2biU8EO9TFZ6lMz8q6A92W","https://api.spotify.com/v1/tracks/2biU8EO9TFZ6lMz8q6A92W","https://api.spotify.com/v1/audio-analysis/2biU8EO9TFZ6lMz8q6A92W",293803,4,"Si Han"
0.535,0.484,4,-8.668,1,0.0346,0.494,0.00023,0.107,0.422,121.992,"audio_features","5fPwGIyhL82FEuX3ITXyuX","spotify:track:5fPwGIyhL82FEuX3ITXyuX","https://api.spotify.com/v1/tracks/5fPwGIyhL82FEuX3ITXyuX","https://api.spotify.com/v1/audio-analysis/5fPwGIyhL82FEuX3ITXyuX",276344,3,"Si Han"
0.403,0.164,2,-15.05,1,0.0318,0.541,0.000113,0.0923,0.15,137.893,"audio_features","14P7NXsAZZRxVkM7x3D0e5","spotify:track:14P7NXsAZZRxVkM7x3D0e5","https://api.spotify.com/v1/tracks/14P7NXsAZZRxVkM7x3D0e5","https://api.spotify.com/v1/audio-analysis/14P7NXsAZZRxVkM7x3D0e5",360820,3,"Si Han"
